status,coin_index,coin_symbol,coin_name,key_derivation,hash,private_header,public_header,public_key_hash,script_hash,wallet_import_format,evm,ucid
0,277,AREPA,Arepacoin,,,,,,,,,
1,278,BOLI,Bolivarcoin,secp256k1,sha256,,,0x55,,0xD5,,1053
0,279,RIL,Rilcoin,,,,,,,,,
0,280,HTR,Hathor Network,,,,,,,,,
0,281,ACME,Accumulate,,,,,,,,,
0,282,BRAVO,BRAVO,,,,,,,,,
0,283,ALGO,Algorand,ed25519,,,,,,,,
0,284,BZX,Bitcoinzero,,,,,,,,,
0,285,GXX,GravityCoin,,,,,,,,,
0,286,HEAT,HEAT,,,,,,,,,
0,287,XDN,DigitalNote,,,,,,,,,
1,288,FSN,FUSION,secp256k1,keccak256,,,,,,TRUE,2530
0,289,CPC,Capricoin,,,,,,,,,
0,290,BOLD,Bold,,,,,,,,,
0,291,IOST,IOST,,,,,,,,,
0,292,TKEY,Tkeycoin,,,,,,,,,
0,293,USE,Usechain,,,,,,,,,
0,294,BCZ,BitcoinCZ,,,,,,,,,
0,295,IOC,Iocoin,,,,,,,,,
0,296,ASF,Asofe,,,,,,,,,
0,297,MASS,MASS,,,,,,,,,
0,298,FAIR,FairCoin,,,,,,,,,
0,299,NUKO,Nekonium,,,,,,,,,
0,300,GNX,Genaro Network,,,,,,,,,
1,301,DIVI,Divi Project,secp256k1,sha256,0x0221312B,0x022D2533,0x1e,0x0d,0xd4,,3441
0,302,CMT,Community,,,,,,,,,
0,303,EUNO,EUNO,,,,,,,,,
1,304,IOTX,IoTeX,secp256k1,keccak256,,,,,,TRUE,2777
1,305,ONION,DeepOnion,secp256k1,sha256,,,0x1F,0x4E,0x9F,,1881
0,306,8BIT,8Bit,,,,,,,,,
0,307,ATC,AToken Coin,,,,,,,,,
0,308,BTS,Bitshares,,,,,,,,,
0,309,CKB,Nervos CKB,secp256k1,blake2b,,,,,,,
0,310,UGAS,Ultrain,,,,,,,,,
0,311,ADS,Adshares,,,,,,,,,
0,312,ARA,Aura,,,,,,,,,
